Date,Snow_Cover_Percentage,NDVI_Median,DSSM,NEE_U50_f_mean,rH_f_mean,Tair_f_mean,Tair_f_min,Tair_f_max,Rg_f_mean,Rg_f_min,Rg_f_max,VPD_f_mean,SWC_10cm,TS_10cm,precipitation_rate
2018-06-09,100.0,-0.0861965172436058,355,,83.17625,0.2616612820833333,-2.8272,4.7619,357.3774375,39.852,690.4,1.09490375,9.4,-6.489,0.0
2018-06-10,100.0,-0.0864874871895603,356,0.0083374299583333,89.28729166666666,-1.952399,-5.0868,-0.052142,277.7884583333333,34.375,580.32,0.5812277083333334,9.5,-6.112,0.0
2018-06-11,100.0,-0.0867784571355148,357,,90.50416666666666,-1.7353179166666666,-2.3432,-0.93926,293.3735208333333,52.912,673.26,0.5167264583333333,9.6,-5.569,0.0
2018-06-12,100.0,-0.0870694270814693,358,0.0198003870833333,96.23125,-2.5727166666666665,-5.01,-1.5627,328.8310833333333,45.577,692.45,0.1921874999999999,9.7,-4.544,0.1
2018-06-13,100.0,-0.0873603970274237,359,,93.24375,-3.353351875,-6.2088,-0.76058,303.87747916666666,42.009,719.77,0.3421871458333334,10.1,-3.547,0.0
2018-06-14,100.0,-0.0876513669733782,360,,89.72916666666667,0.4353485833333333,-3.1646,3.0925,291.126125,52.024,738.46,0.6740466666666666,10.2,-3.403,0.4
2018-06-15,100.0,-0.0879423369193327,361,,82.81666666666668,1.7670854166666663,0.37137,2.8391,352.426625,45.916,690.31,1.200950416666667,10.5,-2.744,0.0
2018-06-16,100.0,-0.0882333068652872,362,0.0177326341666666,82.276875,0.6771247079166667,-1.7215,2.9668,374.6711041666667,43.957,716.33,1.164214375,10.6,-2.294,0.0
2018-06-17,100.0,-0.0885242768112416,363,-0.0011269716666666,90.403125,-0.8416004166666666,-3.0296,0.71078,327.2676875,59.24,682.05,0.5487329166666667,10.7,-2.02,0.0
2018-06-18,100.0,-0.0888152467571961,364,0.0108756670833333,94.41666666666669,-1.392420625,-3.2644,-0.69641,249.21154166666668,49.626,492.19,0.3121438125,10.7,-1.85,0.0
2018-06-19,100.0,-0.0891062167031506,365,0.0200302397916666,96.8875,-2.947579166666667,-4.2318,-2.1367,337.70391666666666,51.185,659.81,0.1542277291666666,10.7,-1.683,0.0
2018-06-20,100.0,-0.0893971866491051,366,,90.1515625,-1.492550002083333,-5.1136,1.7487,388.7928125,82.323,675.39,0.5828154166666667,10.7,-1.529,0.0
2018-06-21,100.0,-0.0896881565950595,367,,85.55291666666666,1.2224562916666668,-1.9863,4.4213,365.10025,54.258,687.56,1.0291727083333333,10.7,-1.45,0.2
2018-06-22,100.0,-0.089979126541014,368,,90.50604166666666,-0.1334925833333333,-3.593,3.4666,282.7140625,56.127,605.71,0.6439977083333334,10.8,-1.395,0.0
2018-06-23,100.0,-0.0902700964869685,369,,87.1375,2.271316666666667,1.4177,4.1257,200.03414583333333,41.433,444.78,0.9329466666666666,10.8,-1.355,0.9
